ADM1_EN,ADM1_PCODE,Age,Sex,2015,2016,2017,2018,2019,2020
Centre,BF13,0,male,150270.188183354,165937.090188579,168548.240522783,171159.390856987,173770.541191191,163325.939854375
Centre,BF13,5-9,male,116207.380621528,140631.899051902,144702.652123631,148773.40519536,152844.158267089,136561.145980173
Centre,BF13,95-99,male,0,0,0,0,0,0
Centre,BF13,100-104,male,0,0,0,0,0,0
Centre,BF13,105-109,male,0,0,0,0,0,0
Centre,BF13,110-114,male,0,0,0,0,0,0
Centre,BF13,115-119,male,0,0,0,0,0,0
Centre,BF13,120-124,male,0,0,0,0,0,0
Centre,BF13,125-129,male,0,0,0,0,0,0
Centre,BF13,10-14,male,127435.587861472,112703.835874847,110248.543877076,107793.251879305,105337.959881534,115159.127872618
Centre,BF13,15-19,male,133447.438660094,124359.049661702,122844.318161971,121329.586662239,119814.855162507,125873.781161434
Centre,BF13,20-24,male,120484.792903411,133478.495358864,135644.112434773,137809.729510681,139975.34658659,131312.878282955
Centre,BF13,25-29,male,95915.7540647895,122715.201875457,127181.776510568,131648.351145679,136114.925780791,118248.627240346
Centre,BF13,30-34,male,70616.4253243828,98525.1827956024,103176.642374139,107828.101952676,112479.561531212,93873.7232170658
Centre,BF13,35-39,male,54041.4527320853,71725.6580481006,74673.0256007698,77620.3931534391,80567.7607061083,68778.2904954314
Centre,BF13,40-44,male,39513.9000430064,54730.8507708153,57267.0092254501,59803.1676800849,62339.3261347197,52194.6923161805
Centre,BF13,1-4,male,137998.709655146,148023.620897151,149694.439437486,151365.25797782,153036.076518154,146352.802356817
Centre,BF13,45-49,male,30176.6220130419,39151.8352198342,40647.704087633,42143.5729554317,43639.4418232304,37655.9663520355
Centre,BF13,50-54,male,20930.6302208004,29605.5625580277,31051.3846142323,32497.2066704368,33943.0287266414,28159.7405018232
Centre,BF13,55-59,male,15310.0061552771,19612.3879200421,20329.451547503,21046.5151749638,21763.5788024246,18895.3242925813
Centre,BF13,60-64,male,10171.8950605759,13670.4866468517,14253.5852445643,14836.6838422769,15419.7824399895,13087.388049139
Centre,BF13,65-69,male,6546.52733385783,8180.13019838927,8452.39734247785,8724.66448656642,8996.93163065499,7907.8630543007
Centre,BF13,70-74,male,3155.89564699919,4538.12472733034,4768.49624071887,4998.86775410739,5229.23926749592,4307.75321394182
Centre,BF13,75-79,male,1995.25633880527,1487.32268557348,1402.66707670152,1318.01146782955,1233.35585895759,1571.97829444545
Centre,BF13,80-84,male,0,777.242750390089,906.783208788437,1036.32366718679,1165.86412558513,647.702291991741
Centre,BF13,85-89,male,0,0,0,0,0,0
Centre,BF13,90-94,male,0,0,0,0,0,0
Centre,BF13,20-24,female,112894.994281289,144681.09811509,149978.78208739,155276.466059691,160574.150031991,139383.41414279
Centre,BF13,25-29,female,79405.9859280086,116918.61926986,123170.724826835,129422.83038381,135674.935940786,110666.513712885
Centre,BF13,0,female,143854.069760529,160453.509946109,163220.083310372,165986.656674635,168753.230038898,157686.936581845
Centre,BF13,5-9,female,131504.345885702,137906.93751388,138974.036118577,140041.134723273,141108.23332797,136839.838909184
Centre,BF13,95-99,female,0,0,0,0,0,0
Centre,BF13,100-104,female,0,0,0,0,0,0
Centre,BF13,105-109,female,0,0,0,0,0,0
Centre,BF13,110-114,female,0,0,0,0,0,0
Centre,BF13,115-119,female,0,0,0,0,0,0
Centre,BF13,120-124,female,0,0,0,0,0,0
Centre,BF13,125-129,female,0,0,0,0,0,0
Centre,BF13,10-14,female,155030.113436059,125117.503304936,120132.068283083,115146.633261229,110161.198239375,130102.93832679
Centre,BF13,15-19,female,141819.690748414,155148.031280811,157369.421369543,159590.811458276,161812.201547009,152926.641192078
Centre,BF13,80-84,female,0,1453.15454249695,1695.34696624644,1937.53938999593,2179.73181374542,1210.96211874746
Centre,BF13,85-89,female,0,0,0,0,0,0
Centre,BF13,30-34,female,57901.5564986629,81638.978156402,85595.2150993585,89551.452042315,93507.6889852716,77682.7412134455
Centre,BF13,35-39,female,46751.5946053393,58442.8622959162,60391.4069110124,62339.9515261085,64288.4961412047,56494.3176808201
Centre,BF13,40-44,female,34101.9302351359,47670.7980147517,49932.275978021,52193.7539412903,54455.2319045596,45409.3200514824
Centre,BF13,1-4,female,138572.508863692,140296.888267646,140584.284834972,140871.681402297,141159.077969623,140009.49170032
Centre,BF13,45-49,female,25195.0016115803,34379.1853646633,35909.8826568439,37440.5799490244,38971.2772412049,32848.4880724828
Centre,BF13,50-54,female,18152.920415797,25048.2983318334,26197.5279845061,27346.7576371788,28495.9872898515,23899.0686791606
Centre,BF13,55-59,female,16053.3369481653,16879.2932830189,17016.9526721612,17154.6120613035,17292.2714504457,16741.6338938767
Centre,BF13,60-64,female,10041.4861495429,14865.7008139619,15669.736591365,16473.7723687682,17277.8081461714,14061.6650365587
Centre,BF13,65-69,female,7576.75773101872,8101.23187212388,8188.64422897474,8276.0565858256,8363.46894267646,8013.81951527302
Centre,BF13,70-74,female,4433.90297512283,5276.38807558409,5416.8022589943,5557.21644240451,5697.63062581472,5135.97389217388
Centre,BF13,75-79,female,3507.99970678836,2052.87719017274,1810.35677073681,1567.83635130087,1325.31593186493,2295.39760960868
Centre,BF13,90-94,female,0,0,0,0,0,0
Boucle du Mouhoun,BF46,0,male,174943.554150802,164297.138914679,162522.736375325,160748.333835971,158973.931296617,166071.541454033
Boucle du Mouhoun,BF46,5-9,male,128609.268060769,171973.060514787,179200.359257123,186427.65799946,193654.956741796,164745.761772451
Boucle du Mouhoun,BF46,0,female,169114.275827626,158582.434751803,156827.127905832,155071.821059862,153316.514213891,160337.741597773
Boucle du Mouhoun,BF46,5-9,female,113116.689430045,166850.771031176,175806.451298031,184762.131564886,193717.811831741,157895.090764321
Boucle du Mouhoun,BF46,95-99,female,0,0,0,0,0,0
Boucle du Mouhoun,BF46,100-104,female,0,0,0,0,0,0
Boucle du Mouhoun,BF46,105-109,female,0,0,0,0,0,0
Boucle du Mouhoun,BF46,110-114,female,0,0,0,0,0,0
Boucle du Mouhoun,BF46,115-119,female,0,0,0,0,0,0
Boucle du Mouhoun,BF46,120-124,female,0,0,0,0,0,0
Boucle du Mouhoun,BF46,125-129,female,0,0,0,0,0,0
Boucle du Mouhoun,BF46,10-14,female,89617.0036618944,116369.947788642,120828.771809766,125287.595830891,129746.419852016,111911.123767517
Boucle du Mouhoun,BF46,15-19,female,83983.3387052678,89284.0269125543,90167.474947102,91050.9229816498,91934.3710161975,88400.5788780065
Boucle du Mouhoun,BF46,20-24,female,69612.2767094285,85125.5657247244,87711.1138939404,90296.6620631564,92882.2102323724,82540.0175555084
Boucle du Mouhoun,BF46,25-29,female,55658.5232288949,70753.5101383273,73269.3412898994,75785.1724414714,78301.0035930435,68237.6789867552
Boucle du Mouhoun,BF46,95-99,male,0,0,0,0,0,0
Boucle du Mouhoun,BF46,100-104,male,0,0,0,0,0,0
Boucle du Mouhoun,BF46,105-109,male,0,0,0,0,0,0
Boucle du Mouhoun,BF46,110-114,male,0,0,0,0,0,0
Boucle du Mouhoun,BF46,115-119,male,0,0,0,0,0,0
Boucle du Mouhoun,BF46,120-124,male,0,0,0,0,0,0
Boucle du Mouhoun,BF46,125-129,male,0,0,0,0,0,0
Boucle du Mouhoun,BF46,10-14,male,102344.913378718,132469.964445751,137490.806290257,142511.648134762,147532.489979268,127449.122601246
Boucle du Mouhoun,BF46,15-19,male,74359.1610710305,106436.529479972,111782.757548129,117128.985616286,122475.213684443,101090.301411815
Boucle du Mouhoun,BF46,20-24,male,58084.1289741091,76186.0923777544,79203.086278362,82220.0801789695,85237.0740795771,73169.0984771469
Boucle du Mouhoun,BF46,25-29,male,47364.5164871945,58933.6665320846,60861.858206233,62790.0498803813,64718.2415545297,57005.4748579363
Boucle du Mouhoun,BF46,30-34,male,38444.5469725356,47937.9100193099,49520.1371937723,51102.3643682346,52684.591542697,46355.6828448475
Boucle du Mouhoun,BF46,35-39,male,33528.1310265906,38226.6418697594,39009.7270102875,39792.8121508157,40575.8972913438,37443.5567292313
Boucle du Mouhoun,BF46,40-44,male,26225.2320087412,33613.6017280846,34844.9966813085,36076.3916345324,37307.7865877563,32382.2067748607
Boucle du Mouhoun,BF46,1-4,male,166480.015824759,171163.548370242,171944.137127823,172724.725885403,173505.314642984,170382.959612662
Boucle du Mouhoun,BF46,45-49,male,22352.0873510604,25520.0156330823,26048.0036800859,26575.9917270896,27103.9797740932,24992.0275860786
Boucle du Mouhoun,BF46,50-54,male,17109.6491275328,21607.8022802071,22357.4944723195,23107.1866644319,23856.8788565443,20858.1100880947
Boucle du Mouhoun,BF46,55-59,male,14931.8203132813,15548.6777895677,15651.4873689488,15754.2969483298,15857.1065277109,15445.8682101866
Boucle du Mouhoun,BF46,60-64,male,11097.7983289104,13097.3532811195,13430.612439821,13763.8715985226,14097.1307572241,12764.094122418
Boucle du Mouhoun,BF46,65-69,male,9311.19624775795,8490.9738418836,8354.27010757121,8217.56637325882,8080.86263894643,8627.67757619599
Boucle du Mouhoun,BF46,70-74,male,4838.17059932521,6384.72739265557,6642.48685821062,6900.24632376568,7158.00578932074,6126.96792710051
Boucle du Mouhoun,BF46,75-79,male,3416.71346906524,2208.58326038655,2007.22822560677,1805.87319082699,1604.51815604721,2409.93829516633
Boucle du Mouhoun,BF46,80-84,male,0,1330.96657430704,1552.79433669155,1774.62209907605,1996.44986146056,1109.13881192253
Boucle du Mouhoun,BF46,85-89,male,0,0,0,0,0,0
Boucle du Mouhoun,BF46,90-94,male,0,0,0,0,0,0
Boucle du Mouhoun,BF46,80-84,female,0,1474.76224160793,1720.55594854259,1966.34965547724,2212.1433624119,1228.96853467328
Boucle du Mouhoun,BF46,85-89,female,0,0,0,0,0,0
Boucle du Mouhoun,BF46,30-34,female,44221.6617312986,56496.0676284612,58541.801944655,60587.5362608488,62633.2705770426,54450.3333122675
Boucle du Mouhoun,BF46,35-39,female,39579.1044985229,43860.2403913236,44573.7630401237,45287.2856889238,46000.8083377239,43146.7177425235
Boucle du Mouhoun,BF46,40-44,female,30554.8078550376,40020.2317074364,41597.8023495029,43175.3729915694,44752.9436336359,38442.66106537
Boucle du Mouhoun,BF46,1-4,female,159894.365817591,165534.652903358,166474.700750986,167414.748598613,168354.796446241,164594.60505573
Boucle du Mouhoun,BF46,45-49,female,25873.1279489521,30143.4008710538,30855.1130247374,31566.825178421,32278.5373321046,29431.6887173702
Boucle du Mouhoun,BF46,50-54,female,18726.7196243423,25705.411267708,26868.5265416023,28031.6418154966,29194.7570893909,24542.2959938138
Boucle du Mouhoun,BF46,55-59,female,17618.2438805616,17201.3252456032,17131.8388064435,17062.3523672837,16992.865928124,17270.8116847629
Boucle du Mouhoun,BF46,60-64,female,10589.2035758816,16401.0594150425,17369.7020549027,18338.3446947628,19306.987334623,15432.4167751824
Boucle du Mouhoun,BF46,65-69,female,10197.9768427825,8101.52498402063,7752.11634089365,7402.70769776667,7053.29905463969,8450.93362714761
Boucle du Mouhoun,BF46,70-74,female,5333.7244612507,7228.60889770961,7544.42297045277,7860.23704319592,8176.05111593907,6912.79482496646
Boucle du Mouhoun,BF46,75-79,female,3560.16327120157,2601.44215578536,2441.65530321599,2281.86845064663,2122.08159807726,2761.22900835473
Boucle du Mouhoun,BF46,90-94,female,0,0,0,0,0,0
Cascades,BF47,0,male,62322.4185826824,88265.8932597177,92589.8057058902,96913.7181520627,101237.630598235,83941.9808135451
Cascades,BF47,5-9,male,43569.6171761335,62676.7679397407,65861.2930670086,69045.8181942765,72230.3433215443,59492.2428124729
Cascades,BF47,100-104,male,0,0,0,0,0,0
Cascades,BF47,105-109,male,0,0,0,0,0,0
Cascades,BF47,110-114,male,0,0,0,0,0,0
Cascades,BF47,115-119,male,0,0,0,0,0,0
Cascades,BF47,120-124,male,0,0,0,0,0,0
Cascades,BF47,125-129,male,0,0,0,0,0,0
Cascades,BF47,10-14,male,39174.8368743206,43976.9302303971,44777.2791230765,45577.6280157559,46377.9769084353,43176.5813377177
Cascades,BF47,15-19,male,29811.4770621494,40471.263021168,42247.8940143377,44024.5250075075,45801.1560006773,38694.6320279982
Cascades,BF47,20-24,male,23604.0128969774,30480.5042867958,31626.5861850988,32772.6680834019,33918.7499817049,29334.4223884927
