ADM1_EN,ADM1_PCODE,Sex,Age,pop_2015,pop_2020
Central,ZMB10,female,'0-4',143620.74990758,172733.664744202
Copperbelt,ZMB20,female,'0-4',175797.079636505,197772.139031961
Luapula,ZMB40,female,'0-4',112912.465116651,139459.984306847
Lusaka,ZMB50,female,'0-4',197175.244744329,218084.377407939
North Western,ZMB60,female,'0-4',84334.5334455337,99979.092343851
Southern,ZMB70,female,'0-4',179416.112705366,223898.820164263
Western,ZMB80,female,'0-4',101396.547721912,114849.70561739
Central,ZMB10,male,'0-4',137137.403369537,175227.113701881
Copperbelt,ZMB20,male,'0-4',176156.582866845,200627.019232243
Luapula,ZMB40,male,'0-4',111611.092788461,141473.117808263
Lusaka,ZMB50,male,'0-4',194350.721720655,221232.47083629
North Western,ZMB60,male,'0-4',86827.540955009,101422.308975056
Southern,ZMB70,male,'0-4',178830.064838074,227130.844647581
Western,ZMB80,male,'0-4',102317.330029593,116507.583535891
Central,ZMB10,female,'10-14',115115.961275095,119073.083193809
Copperbelt,ZMB20,female,'10-14',161057.447192544,151284.983093802
Luapula,ZMB40,female,'10-14',84196.3342144169,93535.6846770486
Lusaka,ZMB50,female,'10-14',170918.94947009,165981.225260632
North Western,ZMB60,female,'10-14',62716.2477383682,69883.5897329154
Southern,ZMB70,female,'10-14',136756.711698728,149211.037478749
Western,ZMB80,female,'10-14',74669.30660427,82789.9118612681
Central,ZMB10,male,'10-14',111849.914522848,117382.304256034
Copperbelt,ZMB20,male,'10-14',155772.749706539,148888.107677925
Luapula,ZMB40,male,'10-14',86688.5849938755,94162.7666441075
Lusaka,ZMB50,male,'10-14',154913.319002602,158588.322141185
North Western,ZMB60,male,'10-14',62496.2764875322,70475.4087940265
Southern,ZMB70,male,'10-14',134510.194874108,146384.335123387
Western,ZMB80,male,'10-14',73232.8862042866,84672.4619698746
Central,ZMB10,female,'5-9',120124.712077982,141046.716187693
Copperbelt,ZMB20,female,'5-9',152621.104720554,172646.365917366
Luapula,ZMB40,female,'5-9',94361.7708912232,110888.798695245
Lusaka,ZMB50,female,'5-9',167447.139920157,193641.383202084
North Western,ZMB60,female,'5-9',70500.7858929552,82823.0531664619
Southern,ZMB70,female,'5-9',150528.836580092,176200.538732795
Western,ZMB80,female,'5-9',83521.0938554504,99579.2749809183
Central,ZMB10,male,'5-9',118747.610275728,133869.858676695
Copperbelt,ZMB20,male,'5-9',150619.870071658,171959.336824387
Luapula,ZMB40,male,'5-9',95257.9990040334,108951.758688515
Lusaka,ZMB50,male,'5-9',160432.907744699,189719.969573664
North Western,ZMB60,male,'5-9',71295.1265209743,84758.7202448203
Southern,ZMB70,male,'5-9',148086.970466375,174569.119839743
Western,ZMB80,male,'5-9',85657.308809272,99879.4369988966
Central,ZMB10,female,15-19,98700.42032257,114233.381709774
Copperbelt,ZMB20,female,15-19,157821.91811948,159822.610676197
Luapula,ZMB40,female,15-19,69230.55244023,83550.8159374271
Lusaka,ZMB50,female,15-19,164069.48113768,169608.509344827
North Western,ZMB60,female,15-19,52646.4527000955,62235.4118487014
Southern,ZMB70,female,15-19,118540.390490398,135708.213314659
Western,ZMB80,female,15-19,61901.1252710835,74096.829598249
Central,ZMB10,male,15-19,96092.4576174175,110684.874871216
Copperbelt,ZMB20,male,15-19,150200.449636261,154150.181136215
Luapula,ZMB40,male,15-19,66505.0368094921,85785.6400763304
Lusaka,ZMB50,male,15-19,143144.473070626,153299.711750088
North Western,ZMB60,male,15-19,50226.7689408989,61845.3143153274
Southern,ZMB70,male,15-19,116660.153582836,133109.121888533
Western,ZMB80,male,15-19,60636.5842352005,72470.0886899504
Central,ZMB10,female,20-24,75655.2919326478,97687.1766629291
Copperbelt,ZMB20,female,20-24,122818.286925326,156201.735792781
Luapula,ZMB40,female,20-24,55075.0590968029,68519.8351849058
Lusaka,ZMB50,female,20-24,152006.414057404,162385.079387301
North Western,ZMB60,female,20-24,40682.4607796235,52105.9910256328
Southern,ZMB70,female,20-24,95110.6851292822,117323.458253849
